ID,HRDTime,HRDTime_ci_hi,HRDTime_ci_lo,HRDTime_ci_IQR_hi,HRDTime_ci_IQR_lo,WGDTime,WGDTime_ci_hi,WGDTime_ci_lo,WGDTime_ci_IQR_hi,WGDTime_ci_IQR_lo,WGDTime_CpG,pi2SBS1,pi2SBS1_ci,pi2SBS3,pi2SBS3_ci,pi1SBS1,pi1SBS1_ci,pi1SBS3,pi1SBS3_ci,c,c21,Nt_SBS1,Nt_SBS3,N_mut(C>TpG),N_mut_all
PD31044a,0.15382419610004125,0.3084783110504504,0.3778947456163944,0.1193602442724305,0.09634337768275064,0.6245786869971861,0.10556237974338256,0.13403850072463036,0.04980699303935476,0.03435538942986471,0.7037313044906373,"[0.3537572711031137, 0.2955644917588253, 0.07433257643348734]","[0.14010024371481822, 0.08265895984070165, 0.029161214060101855]","[0.3478792559229841, 0.21141271429563765, 0.264011332420686]","[0.17963471628098446, 0.10104586266822299, 0.14163799000730165]","[0.6462427288968868, 0.7044355082411748, 0.9256674235665128]","[0.1401002437148199, 0.08265895984070065, 0.029161214060102136]","[0.6521207440770159, 0.7885872857043625, 0.735988667579314]","[0.1796347162809848, 0.10104586266822191, 0.1416379900073017]","[0.06686350993917378, 0, 0.10826875919215695]",0.0744453922037003,"[15.744462539073643, 55.85900320827077, 4.618464924662114]","[244.60397513579713, 616.7488763798912, 56.5183340638644]","[24, 87, 6]","[745, 1871, 167]"
PD31051a,0.10749551591652114,0.03612591430014446,0.035492296645928456,0.011843329332509714,0.008215725610182315,0.1488959033788117,0.031979796922211146,0.03899452979011206,0.012158462666213149,0.009030148919704523,0.12949737080304854,"[0.08877881451706296, 0.043871280984285096, 0.1350453268165846]","[0.027130519695387652, 0.014066984715696111, 0.03607776989203105]","[0.02256331103626339, 0.018890215809723117, 0.057402304114012315]","[0.021080773829937623, 0.013327788956518786, 0.04006892518787936]","[0.9112211854829372, 0.9561287190157146, 0.8649546731834156]","[0.027130519695382604, 0.014066984715698727, 0.0360777698920311]","[0.9774366889637365, 0.9811097841902763, 0.9425976958859877]","[0.02108077382993845, 0.013327788956520203, 0.04006892518788002]","[0.06873802095449084, 0, 0.07173387612247914]",0.06906208467924511,"[75.04255968409834, 95.71510039317342, 9.3456112881885]","[1025.905867071544, 1061.447802198381, 120.51710351026006]","[120, 134, 16]","[2696, 2483, 327]"
PD31056a,-1.2406163069636549,2.1670515390164447,5.97763328687383,1.2209005866929714,0.2693353627386723,0.46713988995040645,0.4603287711191434,0.27639480468718025,0.11386418274680143,0.26551257642592885,0.5665213281396683,"[0.21541130987297716, 0.5399047104768457, 0.45030058945523505]","[0.3368932747623087, 0.2780767394779198, 0.42790547579240135]","[0.09047804259349332, 0.13474232331419878, 0.27827896809679425]","[0.031224847208784337, 0.06092042137909901, 0.23995763045767315]","[0.7845886901270228, 0.46009528952315437, 0.5496994105447649]","[0.3368932747623089, 0.2780767394779198, 0.4279054757924014]","[0.9095219574065067, 0.8652576766858012, 0.7217210319032058]","[0.03122484720878388, 0.06092042137909898, 0.2399576304576728]","[0.043973581132869054, 0, 0.11237768038942382]",0.0655208723986838,"[2.13945839728859, 0.22351543796991258, 2.158396793996799]","[57.68368518503323, 57.42441475534574, 16.44248704034428]","[3, 1, 4]","[137, 132, 63]"
PD31059a,0.02175161226731884,0.06623965480038013,0.07857125726865692,0.02398167712742776,0.018686557905572974,0.2847513025831991,0.03254624144763457,0.04403002494337596,0.01556560483041608,0.010718943957794103,0.2745156180558696,"[0.10634209991307482, 0.11204540241033886, 0.2228454986937537]","[0.025435444812393987, 0.018533154758675174, 0.05438835035978025]","[0.10498506203765004, 0.10585935282306833, 0.2126698595665816]","[0.025710374377814926, 0.023641992356883176, 0.04001947116915461]","[0.8936579000869251, 0.887954597589661, 0.7771545013062469]","[0.025435444812394792, 0.018533154758673342, 0.05438835035978018]","[0.89501493796235, 0.8941406471769315, 0.7873301404334182]","[0.025710374377814538, 0.02364199235688197, 0.04001947116915472]","[0.08022682885522225, 0, 0.0696323585669073]",0.07633819817830952,"[45.887196141047696, 86.38172889169073, 24.36095480193619]","[575.511526394146, 1071.970338773126, 347.3925715719623]","[57, 114, 30]","[1064, 2092, 617]"
PD31068a,0.15045471061975957,0.06755157903813463,0.09374744106984045,0.028391994616479788,0.028882691227583163,0.44116764980611095,0.02846065525761121,0.03240122839794296,0.012513251298238715,0.011123427754287263,0.4255779572262917,"[0.17276014343523677, 0.1718219096285631, 0.44728786691650646]","[0.031726134237253, 0.01906034635742071, 0.0441816466256624]","[0.1896247836894193, 0.1197610178909649, 0.2870380282715497]","[0.04888466949528299, 0.022026036791927016, 0.06405096575029845]","[0.8272398565647634, 0.8281780903714374, 0.5527121330834942]","[0.0317261342372519, 0.019060346357420432, 0.04418164662566226]","[0.8103752163105807, 0.8802389821090353, 0.7129619717284504]","[0.04888466949528297, 0.022026036791922277, 0.064050965750298]","[0.07913269142606975, 0, 0.07557095193546964]",0.07777144362075537,"[33.807441781955056, 79.00735133121525, 26.693959298844888]","[441.72384396651347, 811.3915625743092, 276.9520226788242]","[41, 91, 32]","[763, 1499, 472]"
PD31074a,0.36891646827139696,0.09852046012578375,0.08941679041576284,0.03332059082796662,0.032703746281550206,0.7637247118795141,0.0617205181741719,0.04277809598466498,0.014217763406821904,0.019039678153713435,0.7007754209266216,"[0.5333318596743187, 0.4357742880497588, 0.5843388741570129]","[0.05542285341394396, 0.10584909412317514, 0.06414262364882423]","[0.3552140608103208, 0.2440235168495772, 0.4011096559321079]","[0.027526792494111163, 0.03187725054419449, 0.026615746518559136]","[0.46666814032568255, 0.5642257119502425, 0.4156611258429875]","[0.05542285341393993, 0.10584909412318153, 0.0641426236488262]","[0.6447859391896779, 0.7559764831504228, 0.5988903440678919]","[0.02752679249411577, 0.03187725054419044, 0.026615746518558303]","[0.03295308986751383, 0, 0.02551572427217977]",0.030572179150253235,"[79.20247974632326, 40.02068583014536, 28.8623978228137]","[1740.8971230116317, 1343.0685550260655, 786.0136730890376]","[105, 62, 41]","[2969, 2237, 1398]"
PD31092a,0.398245325125356,0.13293793141233506,0.13193836573882273,0.045928037507311725,0.044356133091127015,0.8865120755262126,0.02109636614534649,0.023448905477278292,0.008122842202061498,0.007813100347374813,0.8527133795014735,"[0.7277400905751117, 0.45573780476408154, 0.8075501966060229]","[0.0515779209065127, 0.04279373159136074, 0.033733254356617226]","[0.6565831588959915, 0.38682070378295363, 0.6559467559358281]","[0.058874322485657216, 0.05850736327204353, 0.053698494692238974]","[0.2722599094248888, 0.5442621952359191, 0.19244980339397755]","[0.05157792090651149, 0.04279373159136074, 0.033733254356617046]","[0.3434168411040088, 0.6131792962170463, 0.3440532440641722]","[0.058874322485659936, 0.058507363272044866, 0.05369849469224097]","[0.06310127771497648, 0, 0.047857656411860565]",0.054351386249479085,"[57.105743657688734, 37.281699239714214, 82.2891245820167]","[724.4275635097656, 397.7587001113246, 969.6217506417853]","[67, 43, 95]","[1229, 707, 1656]"
PD31097a,0.6341159473646356,0.048292191599368595,0.057274789484177635,0.021608795987926976,0.018936974357960934,0.9152544581885773,0.018066505716827774,0.015475782115461079,0.005129454249290122,0.006016006254599748,0.8933806111242808,"[0.7807317905427741, 0.5006280534475583, 0.7698163135551865]","[0.026099391648798154, 0.04099453883524956, 0.02352516771426194]","[0.5491519108896614, 0.33845781030764743, 0.48899639778644016]","[0.052851941671718444, 0.05442153978314923, 0.048343516037896106]","[0.219268209457226, 0.49937194655244144, 0.23018368644481363]","[0.026099391648799708, 0.04099453883524817, 0.023525167714263162]","[0.4508480891103384, 0.6615421896923525, 0.5110036022135596]","[0.05285194167171858, 0.05442153978314468, 0.04834351603789869]","[0.04869151532051115, 0, 0.04814241151761389]",0.048406490410750375,"[112.14196563839282, 101.6689408068917, 132.1543893294111]","[1124.5344352655384, 885.9657948621392, 1240.7140953547275]","[122, 119, 147]","[1992, 1785, 2150]"
PD31099a,0.34655871409610595,0.12940172253198212,0.1228150871884135,0.045289349623099606,0.04583875954033578,0.8287218672422522,0.04149221581769602,0.03206121779302651,0.010900010829161033,0.013870944372290639,0.8019544290344035,"[0.6321515543091475, 0.41677368250143654, 0.7357974093051556]","[0.06115109657310491, 0.0709364651103652, 0.0391744590508144]","[0.5400630256512181, 0.38718788812731797, 0.5697925846908148]","[0.052490248889449836, 0.08070110608710901, 0.04997393074492423]","[0.36784844569085334, 0.5832263174985641, 0.2642025906948451]","[0.06115109657310577, 0.0709364651103645, 0.039174459050815125]","[0.45993697434878184, 0.6128121118726823, 0.430207415309185]","[0.05249024888944548, 0.08070110608711267, 0.04997393074491982]","[0.05439678199905279, 0, 0.03770323262674905]",0.045596407777402266,"[55.62980438964456, 35.7127420228775, 56.76173119374678]","[822.0209140924314, 512.2319032240795, 928.9416051765229]","[75, 49, 71]","[1453, 1035, 1620]"
PD31107a,0.48190525197125594,0.07833256094102509,0.07478509933808197,0.022667978296690483,0.02338229206804643,0.5950537044030368,0.05603319185742117,0.04633366948738993,0.01476454050779008,0.01823497842626809,0.483280776678287,"[0.5504723785422114, 0.2422865439231572, 0.35077440052759185]","[0.06091279130505725, 0.0701487581275447, 0.05499191533858119]","[0.09891772790835604, 0.08317151594760967, 0.11433154302673092]","[0.04303726492128112, 0.031221661149861732, 0.042766343700111085]","[0.44952762145778946, 0.7577134560768437, 0.6492255994724087]","[0.060912791305059, 0.07014875812754001, 0.054991915338581054]","[0.9010822720916437, 0.9168284840523904, 0.885668456973269]","[0.04303726492128074, 0.031221661149866076, 0.04276634370010707]","[0.03303152310354917, 0, 0.04136871176252379]",0.03745727097933602,"[45.663464601366705, 40.70456100706964, 44.53670621100446]","[697.2972905132251, 793.2693331795273, 797.6381648779951]","[58, 63, 62]","[1156, 1538, 1308]"
