ID,HRDTime,HRDTime_ci_hi,HRDTime_ci_lo,HRDTime_ci_IQR_hi,HRDTime_ci_IQR_lo,WGDTime,WGDTime_ci_hi,WGDTime_ci_lo,WGDTime_ci_IQR_hi,WGDTime_ci_IQR_lo,WGDTime_CpG,pi2SBS1,pi2SBS1_ci,pi2SBS3,pi2SBS3_ci,pi1SBS1,pi1SBS1_ci,pi1SBS3,pi1SBS3_ci,c,c21,Nt_SBS1,Nt_SBS3,N_mut(C>TpG),N_mut_all
f393bafe-7503-5c45-e040-11ac0d484511,0.18866158955669626,0.11488112277425871,0.14270692665614995,0.04299182293183368,0.03974081816232161,0.7225120694224123,0.04401791741209338,0.03297630210411928,0.013406821979353278,0.014806889222400699,0.6516421778904905,"[0.48732220816285476, 0.364689199565941, 0.48457029565042165]","[0.040603815030917395, 0.062440393871399075, 0.040071811014651404]","[0.4065274258649956, 0.24388416091469856, 0.42197376069241294]","[0.0565464475796055, 0.04973882227042116, 0.05064882500724044]","[0.4849084962811007, 0.5903496142035028, 0.4650932602682133]","[0.03818048688689632, 0.05712139089159124, 0.03503385845816717]","[0.5462229420426084, 0.7027892866357432, 0.5315204318045934]","[0.051518650619076484, 0.04524387313448974, 0.04533108616178913]","[0.08358906880304133, 0, 0.07024071452414005]",0.07267077774741551,"[31.92310901230677, 59.78251089141574, 121.29545233248511]","[341.86665098811557, 861.6774176996577, 1522.215438554581]","[46, 97, 179]","[858, 2223, 3855]"
f393bb0c-4178-ca4a-e040-11ac0d48455f,0.7583786167464917,0.17952919790605681,0.43474029941638703,0.14811209720213236,0.11945464369619763,0.9517459570247289,0.03353959525954753,0.018539476713223202,0.005347188088877242,0.009613080677189245,0.9219187664044932,"[0.8281700742847073, 0.5800964038576714, 0.8539852205975833]","[0.08779103075039502, 0.1942019696216012, 0.03310575491080592]","[0.3588411159715246, 0.24913575731756762, 0.36095500726524704]","[0.32426375076159375, 0.36733000576429015, 0.3221568335109045]","[0.1451740776683636, 0.3698803413583275, 0.12512257668929527]","[0.07011899339110964, 0.16625056642805164, 0.028872676884946116]","[0.537670375561399, 0.6482642022954244, 0.5499071865878]","[0.26606655061607154, 0.30784928747539053, 0.2761024041970943]","[0.2338282169160068, 0, 0.16886186504887138]",0.1963685098505555,"[46.372448707280356, 13.288098199366694, 53.161994169052015]","[74.22871875276071, 41.33162682220612, 100.60214043915643]","[67, 19, 67]","[608, 244, 828]"
f221cbb5-eefa-187f-e040-11ac0c481708,0.5729672483487538,0.10466111942286471,0.0914654979919658,0.022334906751906747,0.032363524020909584,0.6880039509806198,0.09195498724359896,0.044553254645762985,0.010549539777540251,0.017461424964192562,0.5725749467381114,"[0.5189148485011184, 0.27924536526728383, 0.5507380762691793]","[0.0964455565765221, 0.04306382793087549, 0.10224438890363305]","[0.15303617642842612, 0.11273516530365255, 0.15407766002960716]","[0.060693016515287745, 0.04460784367478079, 0.058807612474312515]","[0.45566420501024196, 0.6860199412376103, 0.4313715172262181]","[0.09049649660469314, 0.04063603127410942, 0.09746602237302654]","[0.810024004371665, 0.8406042097919995, 0.8063727944441308]","[0.057905869991970116, 0.04233068117851169, 0.0558671616520065]","[0.045339059029051214, 0, 0.0411748425241562]",0.04248877073250165,"[34.024577986812666, 96.5284057155321, 69.13860671709506]","[428.875947596131, 1080.8594588823041, 913.6336404688018]","[54, 138, 112]","[1081, 2785, 2345]"
f393bb08-4121-cad8-e040-11ac0d484535,0.16589394751792966,0.1210475516510224,0.13585339303917593,0.04551628886320627,0.044060904620809194,0.7689570720731617,0.02077077885142431,0.020282586152843174,0.007801436899800507,0.007791231310491642,0.7545177973344027,"[0.6653671260814409, 0.2348774319766165, 0.6112533384488612]","[0.0357710542344743, 0.05603883119143886, 0.03540705308271447]","[0.5592470545624065, 0.3561292970923429, 0.5525282297112263]","[0.057543370603597266, 0.13770591000848664, 0.051957787741188394]","[0.31246201402602836, 0.7059554878881835, 0.3526151733319321]","[0.03251470668639769, 0.04902116184030603, 0.03145689518669281]","[0.40317679506871057, 0.5950138585222797, 0.40417326125854985]","[0.05198075623330034, 0.12763542361411886, 0.046326988015180676]","[0.06716418532260726, 0, 0.0702601754287382]",0.06965897198488,"[48.98499029155011, 19.639297041886447, 191.78495943556473]","[568.9380269428664, 210.82826397932303, 2395.8664510476265]","[74, 27, 274]","[1303, 526, 5407]"
f393bb07-270c-2c93-e040-11ac0d484533,0.17286695287226572,0.22362560563079553,0.2171067536140513,0.06914235187522466,0.07939187028639676,0.8219222705483819,0.1124033155128974,0.05033932629038351,0.013376645027265321,0.02218187838434449,0.75066091512399,"[0.6132059383223455, 0.4290343602572889, 0.6383223524400887]","[0.0644320530619889, 0.3095245627208396, 0.06695656110245474]","[0.5746555509668737, 0.31677686500109004, 0.5785773815058088]","[0.0676983689872051, 0.08705768623780787, 0.065518631760966]","[0.3470992529189098, 0.520887038794847, 0.3166541349597356]","[0.056905917761460256, 0.27860429283627247, 0.05760568102491373]","[0.3802818309515436, 0.6131854840030634, 0.3714382248289162]","[0.05954076811443276, 0.07694327357022562, 0.05635700091930007]","[0.0595645419023597, 0, 0.04769440731139717]",0.05177171271928285,"[42.160104529812976, 26.284196028235527, 68.93856256651772]","[653.8300354981658, 473.30768008432574, 1247.0170512799655]","[67, 47, 110]","[1544, 1153, 2951]"
fc8130e0-a38a-23b9-e040-11ac0c48327f,0.162661746342822,0.040874398342786306,0.047854818295171214,0.01852020556931236,0.017880118734575373,0.23048628691843498,0.03546684548074491,0.046445155943494854,0.01340854073862699,0.010071674570448719,0.23186259221769434,"[0.13479177061633965, 0.07967785178685288, 0.0996959171868329]","[0.023054653794140345, 0.020152066541569768, 0.02192449451111611]","[0.02580679842550774, 0.025173662359688508, 0.040170638915086786]","[0.017509962067044464, 0.015158139539370261, 0.0290897693605378]","[0.8183992942557989, 0.8711086431204896, 0.8651049243248579]","[0.021441570194262682, 0.018575916373011758, 0.02085154326732741]","[0.9187033253887642, 0.9133344298948073, 0.9006721484741931]","[0.01651766916773978, 0.014256291140943345, 0.0275196871070732]","[0.07344187990178183, 0, 0.07003302650334955]",0.07155021049527013,"[40.17940652068516, 112.65014227424349, 43.61371245139097]","[491.74635841867786, 1347.5980587613144, 604.1469318832845]","[56, 151, 55]","[1025, 2761, 1278]"
fc806c50-2f6e-418d-e040-11ac0d485f01,0.4415240560093676,0.0793210353698437,0.11931820467028048,0.03658686608908318,0.028039763200593315,0.716654076607866,0.026078721652518344,0.01863379281433819,0.0070453416145810355,0.008862327198360886,0.6526908489030542,"[0.5195350071740121, 0.3024415298263915, 0.5624222369058574]","[0.03218777423527058, 0.029385431185060096, 0.03082981400997009]","[0.30184176496716303, 0.1669821096662142, 0.3212280842588826]","[0.07961918063974537, 0.056792063345064946, 0.08208366600853544]","[0.4455731690396679, 0.6575962978677287, 0.42004005331840033]","[0.030903716334571202, 0.02773778200797189, 0.029084309472438535]","[0.6577292011105661, 0.7792930135230398, 0.641899134018382]","[0.0759742184143608, 0.052921736983119694, 0.07608637414984742]","[0.13640976051801912, 0, 0.12069261684026326]",0.13117919279359921,"[106.62175350424724, 73.72822477074993, 48.34260488187267]","[542.565006014382, 358.311247251858, 268.6541060648159]","[140, 95, 63]","[2061, 1023, 1028]"
fc8130df-6860-7677-e040-11ac0d485ddc,0.14322116352436567,0.11528139121111233,0.1412547160002248,0.041125647095956536,0.03784705639496469,0.6878549831454973,0.020203579865704535,0.023939749489081508,0.009078776057855786,0.007334794160860136,0.6723001164902825,"[0.466036685257147, 0.21996806501000735, 0.5122044164331974]","[0.029064013190252008, 0.045195561416409985, 0.02888019810653572]","[0.46353864721816757, 0.4786900512007966, 0.4464025124155362]","[0.06694163753796697, 0.3290563673678132, 0.06427285171300046]","[0.4769590673326195, 0.7093109296946166, 0.44747896050532177]","[0.025944627910426177, 0.038210361530198744, 0.025943178480156287]","[0.4979133602765275, 0.47109822603105056, 0.50283088859242]","[0.06173682997868071, 0.290576627445894, 0.05746969961089812]","[0.1348546582777912, 0, 0.10632155212191886]",0.10766663796682842,"[13.926824355353155, 10.641581457828265, 241.93114826664961]","[99.80601814814389, 50.6226401609673, 2041.872803078064]","[17, 11, 305]","[249, 165, 5033]"
fc8130e0-0f1a-b6eb-e040-11ac0c48328f,0.34107129593869545,0.10288012709564454,0.09521140887268942,0.029781135033685624,0.0304140228115809,0.5082526672818676,0.050349061332290335,0.045746840599577066,0.01500540086486013,0.016381604403533534,0.3871459709905834,"[0.28826331531413, 0.21195298516648986, 0.35128423104458983]","[0.05700812234502585, 0.03967917636213247, 0.0533369037939343]","[0.1219853939901916, 0.1110921976673172, 0.13760755864701363]","[0.05796712450679771, 0.052974761484202076, 0.06535433870869117]","[0.6833065409231739, 0.7532648391859216, 0.622537523778739]","[0.053330203663447984, 0.0375665105362758, 0.05052497940294287]","[0.8377132971980856, 0.8398260302204454, 0.8236415629802]","[0.05488609601228134, 0.04927896873125631, 0.06189953763774658]","[0.06389206704551528, 0, 0.08932630444358097]",0.0728611207712034,"[34.465842933836896, 45.832417692003034, 26.766275124692505]","[447.9730134187159, 434.08274765670666, 230.80926601604827]","[58, 72, 39]","[1252, 1448, 682]"
fc8130df-8ec8-5b1e-e040-11ac0d485e06,0.42783030999816524,0.5393426243481121,0.2609173235563002,0.06141811389884688,0.07972810048975915,0.8746874848936599,0.11512060464220719,0.06411417288156951,0.018917427611212734,0.025109336642521796,0.9078474565586133,"[0.7271151261398262, 0.7121663571470862, 0.7290586369250807]","[0.17897178052810214, 0.3300229673184536, 0.17119826691886392]","[0.5634167197441119, 0.27674561248562063, 0.5749451909787469]","[0.08998616856542335, 0.12909082448872622, 0.08475731540598902]","[0.2644195251675214, 0.2584683086832607, 0.24645070947249154]","[0.17296009718007976, 0.2964922038829998, 0.1551562976440321]","[0.4182518965535201, 0.7006514553905052, 0.39734188073855364]","[0.08622029284078764, 0.12560826630444988, 0.07912591710849795]","[0.03036037065372132, 0, 0.03571628600405675]",0.03173036901475297,"[93.9274916816858, 6.465167239235592, 38.1700719553032]","[1972.0741493496241, 288.98294989372533, 667.9244524410142]","[291, 30, 114]","[10858, 1444, 3732]"
