ID,HRDTime,HRDTime_ci_hi,HRDTime_ci_lo,HRDTime_ci_IQR_hi,HRDTime_ci_IQR_lo,WGDTime,WGDTime_ci_hi,WGDTime_ci_lo,WGDTime_ci_IQR_hi,WGDTime_ci_IQR_lo,WGDTime_CpG,pi2SBS1,pi2SBS1_ci,pi2SBS3,pi2SBS3_ci,pi1SBS1,pi1SBS1_ci,pi1SBS3,pi1SBS3_ci,c,c21,Nt_SBS1,Nt_SBS3,N_mut(C>TpG),N_mut_all
110b5f05-ded7-45ec-b0f6-a941c92d77dd_p0_2700,0.8502505736822711,0.2073106169024227,0.15553710248913133,0.048949762555053344,0.07989023860436362,1.195014940191078,0.014688121816152755,0.013861868602451421,0.006448315797992432,0.006293037070472796,1.1720443731427128,"[0.967763337764708, 0.8919352687050559, 0.9127153036179371]","[0.008673330886661557, 0.03742160881010331, 0.043856981922189564]","[0.8365725593603269, 0.8076448298196168, 0.793005471898818]","[0.024444211824040663, 0.032885119491285864, 0.028514853713445587]","[0.0187027747572013, 0.06503367366154804, 0.06904684145070028]","[0.005773184885783467, 0.03264182123162984, 0.03659619116805008]","[0.11756827280244661, 0.12368093362792625, 0.1554862332558364]","[0.018654728176762378, 0.02734342740608134, 0.022053811288137798]","[0.011570809358364808, 0, 0.03253004333968749]",0.02394488114144648,"[47.843401458809794, 100.58789748576837, 69.97864902821011]","[661.1079937393422, 1330.6859413885873, 963.4752304725772]","[0, 0, 0]","[1321, 2687, 1904]"
110b5f05-ded7-45ec-b0f6-a941c92d77dd_p0_3200,0.8936378917762571,0.13939143771903217,0.09841476218920198,0.08249442347532088,0.0613127330824742,1.1701854857818348,0.037351991576716426,0.01659825359901035,0.004877421622106137,0.007539111931609721,1.1346172002138086,"[0.9580480811906117, 0.8431856689014018, 0.8824849112291219]","[0.015679207068269807, 0.062237935995260174, 0.04594532130500634]","[0.7475154156189422, 0.6961583443591018, 0.6901492866452671]","[0.02608479258075952, 0.036273104808798196, 0.028287064661058514]","[0.03268294610259409, 0.11418284435219304, 0.0952841378529179]","[0.011623879638481322, 0.05283474127317021, 0.03852409091668275]","[0.19177695129472958, 0.22933768002439284, 0.24757394312109254]","[0.019845961117176764, 0.030675874931601926, 0.02255490428388425]","[0.012480242249200477, 0, 0.02814277745907633]",0.021811011372069693,"[46.77643414522641, 99.37976762044886, 69.85373934966556]","[641.1272651081105, 1278.1696386738868, 965.7479804192567]","[0, 0, 0]","[1309, 2681, 1929]"
110b5f05-ded7-45ec-b0f6-a941c92d77dd_p0_3700,0.8255567986737812,0.20584331772370235,0.1330368119461588,0.027985675389948228,0.045540969395646,1.1271098792554561,0.026349678611392147,0.016950901271908014,0.005597778691567967,0.0077813328000604365,1.0866321305431195,"[0.9145267663032611, 0.7719106537475413, 0.8352175134520516]","[0.04108776048254509, 0.04158156399129659, 0.07426649467841778]","[0.6739102793751893, 0.584078068393857, 0.6098170029167163]","[0.04410761115713224, 0.05035335117562295, 0.04626003237904763]","[0.06559353298159952, 0.1815609626716942, 0.14071840161701046]","[0.02932294897141833, 0.03642965018282346, 0.06272182635829968]","[0.25568286655198724, 0.33459571311084974, 0.3243390088786324]","[0.0340828086318217, 0.04343348057191171, 0.03785175621978751]","[0.019490652511023384, 0, 0.031743771154485144]",0.026827373009442376,"[47.19473675647776, 99.12721689407243, 69.24814228610374]","[623.3297295645574, 1282.2158172902816, 954.1938906545538]","[0, 0, 0]","[1298, 2686, 1937]"
110b5f05-ded7-45ec-b0f6-a941c92d77dd_p0_4200,0.7439752931848632,0.09702516251591431,0.08301806210060114,0.019231349730282066,0.029072852193291476,1.070684537657629,0.024325564417897905,0.01734813134185753,0.006498211156565015,0.008079218867518945,1.0237590139606423,"[0.8807345307971649, 0.6791343317328566, 0.7776211736623053]","[0.03043584035672059, 0.04512130673050885, 0.040683308002930296]","[0.613427005030698, 0.48400359013139715, 0.5576457775618948]","[0.04634483514734472, 0.04822100769559093, 0.04602955772317602]","[0.09624840483990887, 0.26654751722639347, 0.19209775856127959]","[0.023118910395077498, 0.03887958435858663, 0.03499286021809822]","[0.3072456122270284, 0.42946058878371945, 0.37505550362469764]","[0.03597285975939407, 0.04184832816957021, 0.03846635510840096]","[0.02377948923632466, 0, 0.037552205923990646]",0.03206190410739473,"[48.13980996816883, 101.062835086101, 71.58799944863594]","[636.7541365980883, 1328.7039690490608, 981.8891549907175]","[0, 0, 0]","[1286, 2698, 1940]"
110b5f05-ded7-45ec-b0f6-a941c92d77dd_p0_4700,0.6090548954672299,0.09851671398873996,0.10562474214326911,0.02809136027563197,0.030495336963397457,0.9759501431541733,0.01977702097963363,0.0212372730409498,0.007822429630111483,0.007347736720834441,0.9258044604546198,"[0.8282219794864409, 0.527257637006567, 0.7330136376394683]","[0.03700743742720991, 0.03520470719411603, 0.03989567329107668]","[0.5720444744803796, 0.3751485805196229, 0.5314111364999627]","[0.05702462361433719, 0.04452861803551933, 0.055380853739121244]","[0.14365895511376306, 0.410056184923566, 0.2355961437376492]","[0.02898960567950514, 0.029964344352744643, 0.03557874229783309]","[0.34869524560874654, 0.5360331092917332, 0.4026718764364363]","[0.04501527175494219, 0.03843825736458681, 0.0470042582278212]","[0.032856094457934804, 0, 0.04484524125424019]",0.04010219948090559,"[47.77970195844641, 100.28444654383364, 71.13095514868775]","[601.1030928181258, 1340.4514574238942, 931.3027422828449]","[0, 0, 0]","[1262, 2730, 1928]"
110b5f05-ded7-45ec-b0f6-a941c92d77dd_p0_5200,0.506388607498514,0.0948527968723406,0.08813167190622301,0.0259151497516098,0.029983885501848273,0.8592107254304509,0.025855748785775234,0.025764151271576385,0.0063875207656372,0.0075480866540689195,0.8075558944185144,"[0.7808717479302436, 0.379125450399184, 0.693359656483463]","[0.03990587018603414, 0.03336242666964323, 0.04662873265393114]","[0.5175880244307991, 0.28547744129989394, 0.49771782714550256]","[0.06433347764894307, 0.044496119710395535, 0.06105801644323525]","[0.19763919959789458, 0.5524447939399821, 0.2749602175090074]","[0.032940428023062976, 0.029323628092105203, 0.04176072816416444]","[0.40640656230401234, 0.62494575591576, 0.4365037454947753]","[0.0520152968612872, 0.03897747747456587, 0.0526215557188974]","[0.03745499719201258, 0, 0.046651309452017765]",0.04306328793851099,"[45.916808159589436, 102.69203459165482, 69.40683509285292]","[600.1471600077647, 1341.856574073328, 944.4953895337321]","[0, 0, 0]","[1229, 2712, 1921]"
110b5f05-ded7-45ec-b0f6-a941c92d77dd_p0_5700,0.34869270200396185,0.08819737528468435,0.10787525133468187,0.03164186650335121,0.028684254697626144,0.7128783647406336,0.02279836107774058,0.02291169149674921,0.007536978520326754,0.006070830588817633,0.6654820433231297,"[0.6254321297943557, 0.24909271728513832, 0.6166337446106261]","[0.04216491153106766, 0.02127240739858502, 0.042279396045929896]","[0.405999504368837, 0.19393144445500363, 0.4449043697304021]","[0.050764365697456404, 0.029259166768848627, 0.05083638655564837]","[0.348895723852024, 0.6733760047276811, 0.3481633472130725]","[0.03602997592528984, 0.018389009569953152, 0.03761656536120686]","[0.5183227230778589, 0.7111918744121715, 0.48681719510513666]","[0.04323599316816085, 0.025486868692866316, 0.04382181343342667]","[0.05276666117293547, 0, 0.05513186968034131]",0.05422234988715528,"[46.2197004008157, 102.35382130852535, 71.55437657345531]","[591.9749948871279, 1317.1347717596032, 931.9874543537934]","[0, 0, 0]","[1194, 2699, 1911]"
110b5f05-ded7-45ec-b0f6-a941c92d77dd_p0_6200,0.15783464186790322,0.07262498889645957,0.06574279496994892,0.025440517299906346,0.024142959798307467,0.5372113068466143,0.02511275300117799,0.025552877776124694,0.009952454654179932,0.007721892038893952,0.5121594995978197,"[0.37305963624703736, 0.1449484084514742, 0.5183242889659724]","[0.03176526462370924, 0.014650500358171614, 0.03563465059168394]","[0.2706088293963439, 0.11914754546668149, 0.4036748929980134]","[0.04270188877710991, 0.022374125704207097, 0.05558145385573912]","[0.5986440913262501, 0.7684797885766487, 0.4416111370318008]","[0.028552395309237977, 0.012872103608093433, 0.0321308176015202]","[0.6623232565148917, 0.7784525667402626, 0.5270885152963403]","[0.03778047314554317, 0.01949727368130305, 0.04811534887027333]","[0.07690430865123263, 0, 0.06945706914836564]",0.07224886560784226,"[45.562676010711044, 103.33802733140551, 71.14173685488996]","[539.3704201143264, 1386.0909568369516, 864.2037889288101]","[0, 0, 0]","[1140, 2679, 1901]"
110b5f05-ded7-45ec-b0f6-a941c92d77dd_p0_6700,0.0627579342443083,0.0817065247510206,0.08530653147960393,0.03088701429318569,0.025878796832734127,0.39140634422557674,0.026287471328526546,0.030386643825231374,0.009574284438867098,0.008760642899382831,0.3767350122112152,"[0.17306053976586305, 0.08609916429021144, 0.44116411994938387]","[0.022753893073520243, 0.011536395651401653, 0.038351041482226345]","[0.14381835819091068, 0.0830338340607634, 0.35413202413588474]","[0.03670555474196991, 0.018581169094162693, 0.07267173139311861]","[0.7958239338296821, 0.8245745264801885, 0.5162312551889925]","[0.020989359751646952, 0.009836716671971446, 0.03500802169256645]","[0.7916257827416127, 0.8106197908264403, 0.5755236796683257]","[0.03344051710744833, 0.016380766335257813, 0.06328803940108085]","[0.08884186497497919, 0, 0.07471208540208603]",0.07992276640138431,"[46.36383900720861, 100.93608854181984, 71.85283320904347]","[528.7339153803991, 1360.364466070531, 868.5745816526737]","[0, 0, 0]","[1103, 2643, 1888]"
6c8e9197-fd16-4fed-bfda-e349cab26314_p0_3350,0.678768711495171,0.1506974369910018,0.1325188548420092,0.03249320537397038,0.038570445093239036,1.0508295418416385,0.017917643771632408,0.01273138572639465,0.007775790817821759,0.006613100729961241,1.0285794263496528,"[0.9732696115027388, 0.8273418558444523, 0.9076324120337549]","[0.009794576549574496, 0.07292679453746953, 0.03477439243548053]","[0.8687728030513752, 0.7654493727564167, 0.7961815230878304]","[0.02947811138333062, 0.11021194044122129, 0.03966156922209452]","[0.024528242725984212, 0.14845465280615772, 0.0812568908236066]","[0.008756946185349654, 0.06639561327449706, 0.027922675442352503]","[0.11151836640466467, 0.20800482523180885, 0.17788297592357563]","[0.024576570719037093, 0.10261122613796039, 0.03423267624001587]","[0.022535175237046554, 0, 0.043728820974468216]",0.038649276793855526,"[44.07357387490349, 44.194767995713875, 138.88475535532112]","[433.3308897010187, 454.05097094056674, 1462.163875759519]","[0, 0, 0]","[1114, 1332, 3534]"
